Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,400,267,172,34,62,23,71,749,8,47
C:\Users\Magister\Dropbox\RCC\CSC-5\ae2274193\Projects\Project1,1,400,267,172,34,62,23,71,749,8,47
